id,Parent Sector (1),Parent Sector (2),Sub Sector (1),Sub Sector (2),Sub Sector (3),name,slug,website,repository,organizations,origins,Comments,Notes,Comments
44,State and Democracy (Good Governance),,Democracy and the rule of law,,,BA Obras,ba_obras,github.com/datosgcba/ba_obras,https://github.com/datosgcba/ba_obras,Buenos Aires Data,Digital Public Goods Alliance,,,
1,"Digital, Data, and Technology",Health,Data Management and Policy,,,Bahmni,bahmni,www.bahmni.org,https://github.com/Bahmni/bahmni-core,Bahmni,Digital Public Goods Alliance; DIAL OSC; Digital Square,,,
617,Sustainable Infrastructure,,Energy,,,BEMServer,bemserver,bemserver.org,https://github.com/HIT2GAP-EU-PROJECT/bemserver,HIT2GAP,Digital Public Goods Alliance,,,
618,"Digital, Data, and Technology",,Platform Creation,,,BigBlueButton,bigbluebutton,bigbluebutton.org,https://github.com/bigbluebutton/bigbluebutton,BigBlueButton,Digital Public Goods Alliance,,,
112,"Digital, Data, and Technology",Health,Platform Creation,,,Blood Safety Information System,blood_safety_information_system,www.jembi.org,https://github.com/jembi/bsis,Jembi Health Systems NPC,Digital Public Goods Alliance,,,
556,Environment and Climate ,,Environment and policy,,,Bloom,bloom,bloomclimate.com,https://github.com/tmrowco/bloom-contrib,Tomorrow,Digital Public Goods Alliance,,,
476,Social Development and Education,,Education and Youth,,,Book Dash,book_dash,bookdash.org,,Book Dash,Digital Public Goods Alliance,,,
389,"Digital, Data, and Technology",,Platform Creation,,,Bothub,bothub,bothub.it,https://github.com/bothub-it/bothub,United Nations Children’s Fund (UNICEF),Digital Public Goods Alliance,,,
619,"Digital, Data, and Technology","Security, Peace, Reconstruction",Platform Creation,Refuge and migration,,Boxtribute,boxtribute,www.boxtribute.org,https://github.com/boxwise/ ,Stitching Boxwise,Digital Public Goods Alliance,,,
620,"Digital, Data, and Technology",Health,Data Collection,,,BrainFlow,brainflow,brainflow.org,https://github.com/brainflow-dev/brainflow,Andrey Parfenov,Digital Public Goods Alliance,,,
469,Social Development and Education,,,,,British Columbia Open Textbook Collection,british_columbia_open_textbook_c,open.bccampus.ca,,"Ministry of Advanced Education, Skills and Training, Government of British Columbia; BCcampus",Digital Public Goods Alliance,,,
621,"Digital, Data, and Technology",,,,,Caffe,caffe,caffe.berkeleyvision.org,https://github.com/BVLC/caffe,Berkeley Vision and Learning Center,Digital Public Goods Alliance,,,
589,"Digital, Data, and Technology",Health,Data Management and Policy,,,Caisis,caisis,www.caisis.org,https://github.com/biodigital-inc/caisis,BioDigital,Digital Public Goods Alliance,,,
257,"Digital, Data, and Technology",,Platform Creation,,,Callisto,callisto,,https://github.com/project-callisto/callisto-core,Callisto,Digital Public Goods Alliance,,,
562,"Security, Peace, Reconstruction",,Gender Based Violence,,,Camelot,camelot,camelotproject.org,https://gitlab.com/camelot-project/camelot,Camelot,Digital Public Goods Alliance,,,
231,"Digital, Data, and Technology",,Data Management and Policy,,,caMicroscope,camicroscope,,https://github.com/camicroscope/caMicroscope,BMI,Digital Public Goods Alliance,,,
516,"Digital, Data, and Technology",Health,Data Management and Policy,,,Care,care,care.coronasafe.network,https://github.com/coronasafe/care,Kerala State Disaster Management Authority,Digital Public Goods Alliance,,,
563,"Digital, Data, and Technology",,,,,CartoDB,cartodb,carto.com,https://github.com/CartoDB/cartodb,CartoDB,Digital Public Goods Alliance,,,
499,"Digital, Data, and Technology",Health,Infectious Diseases,,,CDC COVID-19 Health Bot,cdc_covid19_health_bot,github.com/CDCgov/covid19healthbot,https://github.com/CDCgov/covid19healthbot,Center for Disease Control,Digital Public Goods Alliance,,,
299,"Digital, Data, and Technology",,,,,Centre for Open Science - SHARE,centre_for_open_science__share,share-research.readthedocs.io/en/latest/index.html,https://github.com/CenterForOpenScience/SHARE,Centre for Open Science,Digital Public Goods Alliance,,,
74,Health,,Childcare,,,Child Growth Monitor,child_growth_monitor,childgrowthmonitor.org,https://github.com/Welthungerhilfe/cgm-scanner,welthungerhilfe; Welt Hunger Hilfe,Digital Square; Digital Public Goods Alliance,,,
152,Health,,Childcare,,,CIREHA,cireha,www.cireha.com.ar,https://github.com/cboard-org/cboard,United Nations Children’s Fund (UNICEF); CIREHA,Digital Public Goods Alliance,,,
375,"Digital, Data, and Technology",,Data Management and Policy,,,Civic Platform,civic_platform,civicplatform.org,https://github.com/hackoregon/civic,Hack Oregon,Digital Public Goods Alliance,,,
