id,Parent Sector (1),Parent Sector (2),Sub Sector (1),Sub Sector (2),Sub Sector (3),name,slug,website,repository,organizations,origins,Comments,Notes,Comments
181,"Digital, Data, and Technology",,Data Collection,,,Fix My Street,fix_my_street,fixmystreet.org,https://github.com/mysociety/fixmystreet,mySociety,Digital Public Goods Alliance,,,
569,"Security, Peace, Reconstruction",,Humanitarian Aid and Disaster Management,,,Flood Maps,flood_maps,osm-in.github.io/flood-map,https://github.com/osm-in/flood-map,OpenStreetMap,Digital Public Goods Alliance,,,
124,"Security, Peace, Reconstruction",,Humanitarian Aid and Disaster Management,,,FlowKit,flowkit,www.flowminder.org,https://github.com/Flowminder/FlowKit,Flowminder,DIAL OSC; Digital Public Goods Alliance,,,
623,Rural Development,,Agricultural Policy and Food,,,FOCUS,focus,www.focus.fish/about,https://github.com/UnionVMS/UVMS-MobileTerminalModule-APP,FOCUS,Digital Public Goods Alliance,,,
554,Rural Development,,Agricultural Policy and Food,,,Foodsoft,foodsoft,foodcoops.net,https://github.com/foodcoops/foodsoft,Foodcoops,Digital Public Goods Alliance,,,
37,"Digital, Data, and Technology",,Data Collection,,,formhub,formhub,github.com/SEL-Columbia/formhub,https://github.com/SEL-Columbia/formhub,"Sustainable Engineering Lab, Columbia University",Digital Public Goods Alliance,,,
571,"Digital, Data, and Technology",,Data Management and Policy,,,foxBMS,foxbms,foxbms.org,https://github.com/foxBMS/foxbms-1,foxBMS,Digital Public Goods Alliance,,,
608,Social Development and Education,,Education,,,freeCodeCamp,freecodecamp,www.freecodecamp.org,https://github.com/freeCodeCamp/freeCodeCamp,freeCodeCamp,Digital Public Goods Alliance,,,
271,State and Democracy (Good Governance),,Freedom of speech and access to information,,,Freedom of Information Portal,freedom_of_information_portal,,https://github.com/okfde/froide,Open Knowledge Foundation Germany,Digital Public Goods Alliance,,,
470,Social Development and Education,,Youth,,,Fundza Novels,fundza_novels,live.fundza.mobi/specials/yoza-content-on-fundza,,FunDza,Digital Public Goods Alliance,,,
303,"Digital, Data, and Technology",,Data Management and Policy,,,GapMinder Offline,gapminder_offline,www.gapminder.org/tools-offline,https://github.com/Gapminder/gapminder-offline,GapMinder,Digital Public Goods Alliance,,,
534,"Digital, Data, and Technology",,Data Management and Policy,,,Geomancer,geomancer,thinkingmachin.es,https://github.com/thinkingmachines/geomancer,Thinking Machines Data Science Inc.,Digital Public Goods Alliance,,,
333,"Digital, Data, and Technology",,Data Management and Policy,,,GeoNode,geonode,,https://github.com/GeoNode/geonode,GeoNode,Digital Public Goods Alliance,,,
532,"Digital, Data, and Technology",,Data Management and Policy,,,Geoprism Registry,geoprism_registry,dsme.community/common-geo-registry,https://github.com/terraframe/geoprism-registry,TerraFrame,Digital Public Goods Alliance,,,
624,Social Development and Education,,Education,,,Gibbon,gibbon,gibbonedu.org,https://github.com/GibbonEdu/core,GibbonEdu,Digital Public Goods Alliance,,,
557,"Digital, Data, and Technology",,Platform Creation,,,Glific,glific,glific.org,https://github.com/glific/glific,Project Tech4Dev,Digital Public Goods Alliance,,,
318,Environment and Climate ,,Environment and policy,,,Global Carbon Budget,global_carbon_budget,nbviewer.jupyter.org/github/openclimatedata/notebooks/blob/master/Global%20Carbon%20Budget%20%7C%20Fossil%20Fuel%20and%20Cement%20Production.ipynb,https://github.com/openclimatedata/global-carbon-budget,Open Climate Data,Digital Public Goods Alliance,,,
5,Social Development and Education,,Education,,,Global Digital Library,global_digital_library,home.digitallibrary.io,https://github.com/GlobalDigitalLibraryio/book-api,Global Book Alliance,Digital Public Goods Alliance,,,
275,Environment and Climate ,,Environment and policy,,,Global Forest Watch,global_forest_watch,www.globalforestwatch.org,https://github.com/Vizzuality/gfw,Global Forest Watch,Digital Public Goods Alliance,,,
625,"Digital, Data, and Technology",Health,Data Collection,,,Global Healthsites Mapping Project,global_healthsites_mapping_proje,healthsites.io,https://github.com/healthsites/healthsites,OPEN HEALTHSITE CONSULTING LTD,Digital Public Goods Alliance,,,
487,"Security, Peace, Reconstruction",,Refuge and migration,,,Global Human Settlement Layer,global_human_settlement_layer,ghsl.jrc.ec.europa.eu,,European Commission,Digital Public Goods Alliance,,,
120,"Digital, Data, and Technology",Health,Data Management and Policy,,,Global Open Facility Registry,global_open_facility_registry,www.facilitymatch.net,https://github.com/intrahealth/gofr,Intrahealth International; OpenHIE,Digital Public Goods Alliance,,,
408,"Digital, Data, and Technology",Health,Data Management and Policy,,,GNU Health,gnu_health,www.gnuhealth.org,,,Digital Public Goods Alliance,,,
41,State and Democracy (Good Governance),,Transparency and accountability ,,,Gobierto,gobierto,gobierto.es,https://github.com/populatetools/gobierto,Gobierto,Digital Public Goods Alliance,,,
508,Social Development and Education,,Civil Society ,,,Good Here,good_here,goodhere.org,https://github.com/goodhere/goodhere,Ben Matthew,Digital Public Goods Alliance,,,
515,"Digital, Data, and Technology",,,,,GOV.UK Notify,govuk_notify,www.notifications.service.gov.uk,https://github.com/alphagov/notifications-api,The United Kingdom Government Digital Services,Digital Public Goods Alliance,,,
133,Environment and Climate ,,Environment and policy,,,Green Button,green_button,green-button.github.io,https://github.com/GreenButtonAlliance/OpenESPI-Common-java,Green Button Alliance,Digital Public Goods Alliance,,,
55,Rural Development,,Agricultural Policy and Food,,,GrowStuff,growstuff,www.growstuff.org,https://github.com/Growstuff/growstuff,GrowStuff,Digital Public Goods Alliance,,,
426,"Digital, Data, and Technology",,Platform Creation,,,H5P,h5p,h5p.org,https://github.com/h5p/h5p-interactive-video,Joubel,Digital Public Goods Alliance,,,
498,"Digital, Data, and Technology",Health,Infectious Diseases,,,Hamagen React Native,hamagen_react_native,github.com/MohGovIL/hamagen-react-native,https://github.com/MohGovIL/hamagen-react-native,Israels Ministry of Health,Digital Public Goods Alliance,,,
415,"Digital, Data, and Technology",Health,,,,HAPI FHIR,hapi_fhir,hapifhir.io,https://github.com/jamesagnew/hapi-fhir,HAPI FHIR,Digital Public Goods Alliance,,,
500,"Digital, Data, and Technology",Health,,,,Healthcare Rollcall,healthcare_rollcall,healthcarerollcall.org,https://github.com/CodeForBaltimore/Healthcare-Rollcall,Code for Baltimore,Digital Public Goods Alliance,,,
75,"Digital, Data, and Technology",Health,,,,HEARTH,hearth,github.com/jembi/hearth,https://github.com/jembi/hearth,Jembi Health Systems NPC; Jembi,Digital Square; Digital Public Goods Alliance,,,
626,Social Development and Education,,Education,,,Hedy,hedy,www.hedycode.com,https://github.com/Felienne/hedy,Felienne,Digital Public Goods Alliance,,,
317,Rural Development,,Agricultural Policy and Food,,,High Resolution Mapping of Food Security,high_resolution_mapping_of_food,wfp-vam.github.io/HRM,https://github.com/WFP-VAM/HRM,WFP - VAM,Digital Public Goods Alliance,,,
605,Rural Development,,,,,High Resolution Population Density Estimates,high_resolution_population_densi,dataforgood.fb.com/tools/population-density-maps,,Facebook Data For Good,Digital Public Goods Alliance,,,
550,"Digital, Data, and Technology",,Data Management,,,Hive,hive,dms.prokurainnovations.com,https://github.com/prokuranepal/DMS_React,UNICEF Innovation Fund; Prokura Innovations,Digital Public Goods Alliance,,,
304,Health,,,,,HospitalRun,hospitalrun,,https://github.com/HospitalRun/hospitalrun-server,HospitalRun,Digital Public Goods Alliance,,,
118,"Security, Peace, Reconstruction",,Humanitarian Aid and Disaster Management,,,Humansis,humansis,www.humansis.org,https://github.com/humansis/front,Humansis; Relief Applications; People in Need; Digital Impact Alliance,Digital Public Goods Alliance; DIAL OSC,,,
481,Health,,Childcare,,,Ideasis,ideasis,www.ideasis.com.tr,https://github.com/Ideasis/VivoosVR,United Nations Children’s Fund (UNICEF),Digital Public Goods Alliance,,,
335,"Digital, Data, and Technology",Health,Platform Creation,,,If-Me,ifme,,https://github.com/ifmeorg/ifme,If-Me,Digital Public Goods Alliance,,,
6,"Digital, Data, and Technology",Health,Data Management and Policy,,,iHRIS,ihris,ihris.org,https://github.com/iHRIS/iHRIS,Intrahealth International,Digital Public Goods Alliance; Digital Square,,,
488,Social Development and Education,,Education,,,Imisi3D,imisi3d,www.imisi3d.com,https://github.com/Imisi3D/leVRn-beta,United Nations Children’s Fund (UNICEF),Digital Public Goods Alliance,,,
497,"Digital, Data, and Technology",Health,Infectious Diseases,Data Collection,,Immuni Android,immuni_android,www.immuni.italia.it,https://github.com/immuni-app/immuni-app-android,Presidenza del Consiglio dei Ministri,Digital Public Goods Alliance,,,
450,"Digital, Data, and Technology",Health,Infectious Diseases,Data Collection,,Immuni iOS,immuni_ios,www.immuni.italia.it,https://github.com/immuni-app/immuni-app-ios,Presidenza del Consiglio dei Ministri,Digital Public Goods Alliance,,,
627,"Digital, Data, and Technology",Health,Infectious Diseases,Data Collection,,Immunization Calculation Engine,immunization_calculation_engine,cdsframework.atlassian.net/wiki/spaces/ICE/overview,https://github.com/cdsframework/ice,"HLN Consulting, LLC",Digital Public Goods Alliance,,,
392,"Security, Peace, Reconstruction",,Humanitarian Aid and Disaster Management,,,InaSafe,inasafe,,https://github.com/inasafe/inasafe,InaSafe,Digital Public Goods Alliance,,,
541,"Security, Peace, Reconstruction",,Refuge and migration,,,Integreat,integreat,www.integreat-app.com,https://github.com/Integreat/integreat-app,Tür an Tür - Digitalfabrik gGmbH,Digital Public Goods Alliance,,,
237,"Digital, Data, and Technology",Health,Infectious Diseases,Data Collection,,InteleHealth,intelehealth,,https://github.com/Intelehealth/Android-Mobile-Client,InteleHealth,Digital Public Goods Alliance,,,
592,"Digital, Data, and Technology",Health,Infectious Diseases,Data Collection,,InterMine,intermine,intermine.org,https://github.com/intermine/intermine,InterMine,Digital Public Goods Alliance,,,
628,State and Democracy (Good Governance),,Public finance and administration,,,InVEST,invest,naturalcapitalproject.stanford.edu/software/invest,https://github.com/natcap/invest,The Natural Capital Project,Digital Public Goods Alliance,,,
145,"Digital, Data, and Technology",Health,Platform Creation,Childcare,,Jellow,jellow,www.dsource.in/tool/jellow,https://github.com/jellow-aac/Jellow-Communicator,United Nations Children’s Fund (UNICEF),Digital Public Goods Alliance,,,
480,Social Development and Education,,E-learning,,,JHSPH OpenCourseware,jhsph_opencourseware,ocw.jhsph.edu,,"Bloomberg School of Public Health, The Johns Hopkins University",Digital Public Goods Alliance,,,
537,State and Democracy (Good Governance),"Digital, Data, and Technology",,,,Juniper,juniper,cryptofund.unicef.io,https://github.com/unicef/juniper-portfolio,United Nations Children’s Fund (UNICEF),Digital Public Goods Alliance,,,
233,Social Development and Education,,E-learning,,,Ka Lite,ka_lite,learningequality.org/ka-lite,https://github.com/learningequality/ka-lite,Learning Equality,Digital Public Goods Alliance,,,
464,Social Development and Education,,E-learning,,,Khan Academy,khan_academy,www.khanacademy.org,,Khan Academy,Digital Public Goods Alliance,,,
139,"Digital, Data, and Technology",Health,Data Collection,Nutrition,,Kimetrica,kimetrica,,https://github.com/kimetrica/MERON_model,United Nations Children’s Fund (UNICEF),Digital Public Goods Alliance,,,
526,Social Development and Education,,E-learning,,,Kitkit School,kitkit_school,kitkitschool.com,https://github.com/XPRIZE/GLEXP-Team-KitkitSchool,Enuma,Digital Public Goods Alliance,,,
412,Social Development and Education,,E-learning,,,Kiwix,kiwix,www.kiwix.org,https://github.com/kiwix/kiwix-android,Kiwix,DIAL OSC; Digital Public Goods Alliance,,,
36,"Digital, Data, and Technology",,Data Management and Policy,,,KoboToolbox,kobotoolbox,www.kobotoolbox.org,https://github.com/kobotoolbox/kpi,"KoBo, Inc; Kobo; Kobo Toolbox",Digital Public Goods Alliance,,,
40,Social Development and Education,,Education,,,Kolibri,kolibri,learningequality.org/kolibri,https://github.com/learningequality/kolibri,Learning Equality,Digital Public Goods Alliance,,,
593,"Digital, Data, and Technology",Health,Data Management and Policy,,,LabKey Server,labkey_server,www.labkey.com/products-services/labkey-server,https://github.com/LabKey/server,LabKey,Digital Public Goods Alliance,,,
343,"Digital, Data, and Technology",,Data Collection,,,LandGis,landgis,"openlandmap.org/#/?base=Stamen%20(OpenStreetMap)&center=53.3620,25.0000&zoom=4&opacity=80&layer=lcv_land.cover_esacci.lc.l4_c&time=2015",https://github.com/Envirometrix/LandGISmaps,OpenGeoHub,Digital Public Goods Alliance,,,
229,Economics and Finance,,Payments,,,LiberaPay,liberapay,,https://github.com/liberapay/liberapay.com,LiberaPay,Digital Public Goods Alliance,,,
7,"Digital, Data, and Technology",Health,Data Management,Data Collection,,LibreHealth EHR,librehealth_ehr,librehealth.io,https://github.com/LibreHealthIO/lh-ehr,LibreHealth; LibreHealthIO,DIAL OSC; Digital Public Goods Alliance,,,
610,Rural Development,,Management of natural resources,,,Liquid Prep,liquid_prep,www.liquidprep.org,https://github.com/Call-for-Code/Liquid-Prep,Call-for-Code,Digital Public Goods Alliance,,,
76,Other,,Supply chain and logistics ,,,Logistimo,logistimo,www.logistimo.com,https://github.com/logistimo/logistimo-web-service,Logistimo,Digital Square; Digital Public Goods Alliance,,,
351,"Digital, Data, and Technology",Health,Data Management,Data Collection,,LoopKit,loopkit,,https://github.com/LoopKit/LoopKit,LoopKit,Digital Public Goods Alliance,,,
433,"Digital, Data, and Technology",,ICT Infrastructure,,,Magma,magma,engineering.fb.com/open-source/magma,https://github.com/facebookincubator/magma,Facebook,Digital Public Goods Alliance,,,
384,"Digital, Data, and Technology",,Data Management and Policy,,,Mapeo Desktop,mapeo_desktop,www.digital-democracy.org/mapeo,https://github.com/digidem/mapeo-desktop,Digital Democracy,Digital Public Goods Alliance,,,
209,"Digital, Data, and Technology",,Data Management and Policy,,,MapSwipe,mapswipe,,https://github.com/mapswipe/mapswipe,MapSwipe,Digital Public Goods Alliance,,,
190,"Digital, Data, and Technology",,Data Management and Policy,,,MapX,mapx,www.mapx.org,https://github.com/unep-grid/map-x-mgl,UNEP,Digital Public Goods Alliance,,,
429,"Digital, Data, and Technology",,Data Management and Policy,,,MaryTTS,marytts,mary.dfki.de,https://github.com/marytts/marytts,Multimodal Speech Processing Group; German Research Center for Artificial Intelligence,Digital Public Goods Alliance,,,
8,"Digital, Data, and Technology",,Platform Creation,,,MediaWiki,mediawiki,www.mediawiki.org/wiki/MediaWiki,github.com/wikimedia/mediawiki,,,,,
61,"Digital, Data, and Technology",Health,Platform Creation,,,Medic Mobile,medic_mobile,medicmobile.org,https://github.com/medic/cht-core,Medic Mobile,Digital Public Goods Alliance; Digital Square; DIAL OSC,,,
468,Social Development and Education,,E-learning,,,MERLOT,merlot,www.merlot.org/merlot,,California State University Center for Distributed Learning; MERLOT,Digital Public Goods Alliance,,,
10,"Digital, Data, and Technology",,Data Collection,,,MET Norway Weather API,met_norway_weather_api,developer.yr.no,,MET Norway; Norwegian Meteorological Insitute,Digital Public Goods Alliance,,,
11,"Digital, Data, and Technology",Health,Platform Creation,,,mHero,mhero,www.mhero.org,https://github.com/intrahealth/emNutt,Intrahealth International,Digital Public Goods Alliance,,,
12,Economics and Finance,,Finance,,,Mifos,mifos,mifos.org,https://github.com/openMF/community-app,Mifos,DIAL OSC; Digital Public Goods Alliance,,,
255,"Security, Peace, Reconstruction",,Refuge and migration,,,Migrant Service App,migrant_service_app,migrant-service-map.web.app,https://github.com/codeforboston/migrant_service_map,Code for Boston,Digital Public Goods Alliance,,,
479,Social Development and Education,,E-learning,,,MIT OpenCourseWare,mit_opencourseware,ocw.mit.edu,,Massachusetts Institute of Technology,Digital Public Goods Alliance,,,
542,"Digital, Data, and Technology",Health,Platform Creation,Childcare,Neonatal,Mobile WACh,mobile_wach,globalhealth.washington.edu/interactive-map/projects/1580/Mobile-WACh-NEO-Communication-Empowering-Mothers-and-Newborns?health_topics=454,https://github.com/uw-ictd/mwbase,"Department of Global Health, University of Washington",Digital Public Goods Alliance,,,
71,Economics and Finance,"Digital, Data, and Technology",Payments,Platform Creation,,Mojaloop,mojaloop,mojaloop.io,https://github.com/mojaloop/mojaloop,MojaLoop; Bill & Melinda Gates Foundation,Digital Public Goods Alliance,,,
13,Social Development and Education,,Education,,,Moodle,moodle,moodle.org,https://github.com/moodle/moodle,Moodle,Digital Public Goods Alliance,,,
67,State and Democracy (Good Governance),,Transition,,,MOSIP,mosip,mosip.io,https://github.com/mosip/mosip-infra,"Omydiar Network; International Institute of Information Technology, Bangalore (IIIT-B); MOSIP; Bill & Melinda Gates Foundation",Digital Public Goods Alliance; DIAL OSC,,,
14,"Digital, Data, and Technology",Health,Data Management and Policy,,,MOTECH,motech,docs.motechproject.org,https://github.com/motech/motech,Grameen Foundation; MOTECH,Digital Public Goods Alliance,,,
101,"Digital, Data, and Technology",Health,Platform Creation,,,mUzima,muzima,www.muzima.org,https://github.com/muzima/muzima-android,mUzima,DIAL OSC; Digital Public Goods Alliance,,,
530,"Digital, Data, and Technology",,Data Management and Policy,,,NADA - Data Catalog,nada__data_catalog,nada.ihsn.org,https://github.com/ihsn/nada,World Bank,Digital Public Goods Alliance,,,
511,Social Development and Education,,Civil Society,,,Neighbor Express,neighbor_express,neighborexpress.org,https://github.com/usdigitalresponse/neighbor-express,"The City of Concord, CA",Digital Public Goods Alliance,,,
438,"Digital, Data, and Technology",Health,Data Management and Policy,,,NextStrain,nextstrain,nextstrain.org/ncov,https://github.com/nextstrain/ncov,NextStrain,Digital Public Goods Alliance,,,
575,"Digital, Data, and Technology",,Platform Creation,,,Nomie,nomie,nomie.app,https://github.com/open-nomie/nomie5,Nomie,Digital Public Goods Alliance,,,
278,"Digital, Data, and Technology",State and Democracy (Good Governance),Freedom of speech and access to information,Platform Creation,,NVDA,nvda,,https://github.com/nvaccess/nvda,NVAccess,Digital Public Goods Alliance,,,Accesibility
430,"Digital, Data, and Technology",State and Democracy (Good Governance),Data Management and Policy,Freedom of speech and access to information,,Obras Abiertas,obras_abiertas,github.com/datosgcba/ba_obras,https://github.com/datosgcba/obras-abiertas,Buenos Aires Data,Digital Public Goods Alliance,,,
128,"Digital, Data, and Technology",Health,Data Management and Policy,,,Occhiolino,occhiolino,www.gnuhealth.org,,GNU Health,Digital Public Goods Alliance,,,
419,Private Sector Engagement,,Enterprise Ecosystems,,,Octopus Microfinance,octopus_microfinance,sourceforge.net/projects/omfs,https://sourceforge.net/projects/omfs/,Octopus Microfinance,Digital Public Goods Alliance,,,
16,"Digital, Data, and Technology",Health,Platform Creation,Data Managament and Policy,,ODK,odk,opendatakit.org,https://github.com/getodk/central,Get ODK Inc; Open Data Kit,Digital Public Goods Alliance; DIAL OSC; Digital Square,,,
17,Private Sector Engagement,,Enterprise Ecosystems,,,Odoo/OpenERP,odoo_openerp,www.odoo.com,https://github.com/odoo/odoo,Odoo,Digital Public Goods Alliance,,,
465,Social Development and Education,,E-learning,,,OER Africa,oer_africa,www.oerafrica.org,,OER Africa,Digital Public Goods Alliance,,,
478,Social Development and Education,"Digital, Data, and Technology",Education,Platform Creation,,OER Commons,oer_commons,www.oercommons.org,,OER Commons,Digital Public Goods Alliance,,,
388,"Digital, Data, and Technology",Rural Development,Data Management and Policy,Management of natural resources,,OffGrid Market Opportunities,offgrid_market_opportunities,offgrid.energydata.info,https://github.com/energy-data/market-opportunities,Energy Data,Digital Public Goods Alliance,,,
60,"Digital, Data, and Technology",,Data Collection,Data Managament and Policy,,OnaData,onadata,github.com/onaio/onadata,https://github.com/onaio/onadata,Ona,Digital Public Goods Alliance,,,
594,"Digital, Data, and Technology",,Data Management and Policy,,,Oncoscape,oncoscape,oncoscape.sttrcancer.org,https://github.com/FredHutch/Oncoscape,Seattle Translational Tumor Research; Fred Hutchinson Cancer Research Center,Digital Public Goods Alliance,,,
151,State and Democracy (Good Governance),,Public finance and administration,,,OneSmart,onesmart,os.city,https://gitlab.com/oscity/singletally,United Nations Children’s Fund (UNICEF),Digital Public Goods Alliance,,,
595,"Digital, Data, and Technology",,,,,OnSSET,onsset,www.onsset.org,https://github.com/OnSSET/onsset,OnSSET,Digital Public Goods Alliance,,,
59,Rural Development,,Agricultural Policy and Food,,,Open Ag Data Alliance,open_ag_data_alliance,openag.io,github.com/OADA/oada-srvc-docker,Open Ag Data Alliance,Digital Public Goods Alliance,,,
431,Economics and Finance,"Digital, Data, and Technology",Payments,Platform Creation,,Open Bank Project,open_bank_project,www.openbankproject.com,https://github.com/OpenBankProject/OBP-API,TESOBE,Digital Public Goods Alliance,,,
284,Environment and Climate ,,Environment and policy,,,Open Climate Workbench,open_climate_workbench,climate.apache.org,https://github.com/apache/climate,The Apache Software Foundation; Apache,Digital Public Goods Alliance,,,
596,Economics and Finance,"Digital, Data, and Technology",Payments,Platform Creation,,Open Collective,open_collective,opencollective.com,https://github.com/opencollective/opencollective,Open Collective,Digital Public Goods Alliance,,,
18,"Digital, Data, and Technology",,Data Management and Policy,,,Open Concept Lab,open_concept_lab,openconceptlab.org,https://github.com/OpenConceptLab/oclapi,Open Concept Lab,Digital Public Goods Alliance; Digital Square,,,
503,"Digital, Data, and Technology",Health,Platform Creation,Data Managament and Policy,Infectious Diseases,Open COVID-19 Dataset,open_covid19_dataset,covid19.healthdata.org/united-states-of-america,https://github.com/beoutbreakprepared/nCoV2019,"Institute for Health Metrics and Evaluation, University of Washington",Digital Public Goods Alliance,,,
182,"Digital, Data, and Technology",,Data Management and Policy,,,Open Data Cube Core,open_data_cube_core,,https://github.com/opendatacube/datacube-core,Open Data Cube,Digital Public Goods Alliance,,,
545,"Digital, Data, and Technology",,Data Collection,,,Open Drone Suite,open_drone_suite,as-research.org,https://github.com/team-asr,United Nations Children’s Fund (UNICEF); Autonomous Systems Research Ltd,Digital Public Goods Alliance,,,
161,Social Development and Education,,E-learning,,,Open edX,open_edx,openedx.org,https://github.com/edx/edx-platform,edX,Digital Public Goods Alliance,,,
42,Rural Development,,Agricultural Policy and Food,,,Open Food Facts,open_food_facts,openag.io,https://github.com/openfoodfacts/openfoodfacts-androidapp,Open Food Facts,Digital Public Goods Alliance,,,
43,Rural Development,,Agricultural Policy and Food,,,Open Food Network,open_food_network,openfoodnetwork.org,https://github.com/openfoodfoundation/openfoodnetwork,Open Food Foundation,Digital Public Goods Alliance,,,
49,Rural Development,,Agricultural Policy and Food,,,Open Food Source,open_food_source,www.openfoodsource.org,https://github.com/openfoodsource/OFS_trunk,Open Food Source,Digital Public Goods Alliance,,,
577,"Digital, Data, and Technology",,Data Collection,,,Open Foris Collect,open_foris_collect,www.openforis.org/newwebsite/tools/collect.html,https://github.com/openforis/collect,Food and Agriculture Organization (FAO) of the United Nations,Digital Public Goods Alliance,,,
629,"Digital, Data, and Technology",,,,,Open NN,open_nn,www.opennn.net,https://github.com/Artelnics/opennn,"Artificial Intelligence Techniques, Ltd.",Digital Public Goods Alliance,,,
441,State and Democracy (Good Governance),,Stability ,,,Open Opportunities platform,open_opportunities_platform,openopps.org,https://github.com/openopps/openopps-platform,The United States General Services Administration,Digital Public Goods Alliance,,,
281,"Digital, Data, and Technology",,,,,Open Risk Dashboard,open_risk_dashboard,index.opendri.org,https://github.com/GFDRR/open-risk-data-dashboard,Global Facility for Disaster Reduction and Recovery,Digital Public Goods Alliance,,,
174,"Digital, Data, and Technology",,,,,Open Science Framework,open_science_framework,osf.io,https://github.com/CenterForOpenScience/osf.io,Centre for Open Science,Digital Public Goods Alliance,,,
597,Environment and Climate ,"Digital, Data, and Technology",,,,Open Source Ecology,open_source_ecology,www.opensourceecology.org,https://github.com/OpenSourceEcology/cross-platform-python-gui,Open Source Ecology,Digital Public Goods Alliance,,,
485,Social Development and Education,"Digital, Data, and Technology",,,,Open Stax,open_stax,openstax.org,,Rice University,Digital Public Goods Alliance,,,
474,"Digital, Data, and Technology",,,,,Open Textbook Library,open_textbook_library,open.umn.edu/opentextbooks,,University of Minnesota,Digital Public Goods Alliance,,,
467,,,,,,Open Up Resources,open_up_resources,openupresources.org,,Open Up Resources,Digital Public Goods Alliance,,,
417,Economics and Finance,"Digital, Data, and Technology",Payments,Platform Creation,,OpenACH,openach,openach.com,,"OpenACH, Inc.",Digital Public Goods Alliance,,,
94,"Security, Peace, Reconstruction",,Humanitarian Aid and Disaster Management,,,OpenAerialMap,openaerialmap,github.com/hotosm/OpenAerialMap,https://github.com/hotosm/OpenAerialMap,Humanitarian Open Street Map Team,DIAL OSC; Digital Public Goods Alliance,,,
307,"Digital, Data, and Technology",,Data Collection,,,OpenAfrica,openafrica,openafrica.net,https://github.com/CodeForAfrica/openAFRICA,Code for Africa,Digital Public Goods Alliance,,,
385,"Digital, Data, and Technology",,,,,OpenAg Device Software,openag_device_software,,https://github.com/OpenAgricultureFoundation/openag-device-software,Open Agriculture Initiative,Digital Public Goods Alliance,,,
555,"Digital, Data, and Technology",Health,,,,OpenAgro,openagro,rentadrone.cl/developers/precision-agriculture-maps,https://github.com/RentadroneCL/Precision_Agriculture,Rentadrone.cl,Digital Public Goods Alliance,,,
250,Rural Development,,Agricultural Production and Use of Resources,,,OpenAQ Platform API,openaq_platform_api,docs.openaq.org,https://github.com/openaq/openaq-api,OpenAQ,Digital Public Goods Alliance,,,
599,Economics and Finance,,Economic Policy and Trade,,,OpenBCI,openbci,openbci.com,https://github.com/OpenBCI/OpenBCI_GUI,OpenBCI,Digital Public Goods Alliance,,,
598,Health,,,,,OpenBCI GUI,openbci_gui,openbci.com,https://github.com/OpenBCI/OpenBCI_GUI,Open Source Brain-Computer Interfacing,Digital Public Goods Alliance,,,
418,"Digital, Data, and Technology",Health,Data Collection,,,OpenCBS,opencbs,opencbs.com,https://sourceforge.net/projects/opencbs/,OpenCBS,Digital Public Goods Alliance,,,
19,"Digital, Data, and Technology",Economics and Finance,Data Collection,Payments,,OpenCRVS,opencrvs,www.opencrvs.org,https://github.com/opencrvs/opencrvs-core,Jembi Health Systems NPC; OpenCRVS; Plan International; Plan International Australia; Jembi,Digital Square; Digital Public Goods Alliance,,,
132,Sustainable Infrastructure,,Energy,,,OpenEEmeter,openeemeter,eemeter.openee.io,https://github.com/openeemeter/eemeter,Recurve,Digital Public Goods Alliance,,,
20,"Digital, Data, and Technology",Health,Data Collection,,,OpenELIS,openelis,www.openelisglobal.org,https://github.com/openelisglobal/openelisglobal-core,OpenELIS Foundation; I-TECH DIGI; OpenELIS Global,Digital Square; Digital Public Goods Alliance,,,
105,"Digital, Data, and Technology",Social Development and Education,Education,Data Collection,,OpenEMIS,openemis,www.openemis.org,,OpenEMIS,Digital Public Goods Alliance,,,
630,"Digital, Data, and Technology",Health,Data Collection,Data Managament and Policy,,OpenEMR,openemr,www.open-emr.org,https://github.com/openemr/openemr,OpenEMR,Digital Public Goods Alliance,,,
600,"Digital, Data, and Technology",Sustainable Infrastructure,,Energy,,OpenEMS,openems,openems.io,https://github.com/OpenEMS/openems,OpenEMS Association e.V.,Digital Public Goods Alliance,,,
50,Rural Development,"Digital, Data, and Technology",Agricultural Policy and Food,Data Managament and Policy,,OpenFarm,openfarm,openfarm.cc,https://github.com/openfarmcc/OpenFarm,OpenFarm,Digital Public Goods Alliance,,,
535,"Digital, Data, and Technology",,,,,OpenFn,openfn,www.openfn.org,https://github.com/OpenFn/microservice,OpenFn,DIAL OSC,No description,"A module that manages timers, handles HTTP requests, and executes OpenFn jobs (with adaptors, triggers, and credentials) using OpenFn/core.",
533,Economics and Finance,,Payments,,,OpenG2P,openg2p,openg2p.org,https://github.com/OpenG2P/openg2p-erp,Government of Sierra Leone,Digital Public Goods Alliance,,,
85,"Digital, Data, and Technology",Health,Data Management and Policy,,,OpenHIE,openhie,ohie.org,github.com/openhie,,Digital Square,,,
21,"Digital, Data, and Technology",Health,Data Management and Policy,,,OpenHIM,openhim,openhim.org,https://github.com/jembi/openhim-core-js,Jembi Health Systems NPC; Jembi,Digital Public Goods Alliance; Digital Square,,,
631,"Digital, Data, and Technology",Health,Data Management and Policy,,,OpenHospital,openhospital,www.open-hospital.org,https://github.com/informatici/openhospital,Informatici Senza Frontiere,Digital Public Goods Alliance,,,
